NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
6	CHLORINE	70,906 	172,2 	238,7 	417,0 	76,0 	124,0 	0,275 	0,073 	1,563 	239,1 	0,2 	6,4320 	8,082E-03 	-9,241E-06 	3,695E-09 	191,96 	172,55 	0	0	15,9610 	1978,32 	-27,01 	264	172	42,217 	-3412,28 	-3,894 	1,270 	4880
7	PHOSPHORUS TRICHLORIDE	137,333 	161,0 	349,0 	563,0 	0,0 	260,0 	0,000 	0,000 	1,574 	294,0 	0,9 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
8	SILICON TETRACHLORIDE	169,898 	204,3 	330,4 	507,0 	37,0 	326,0 	0,290 	0,264 	1,480 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8019 	2634,16 	-43,15 	364	238	0,000 	0,00 	0,000 	0,000 	6580
9	DEUTERIUM	4,032 	18,7 	23,7 	38,4 	16,4 	60,3 	0,314 	-0,130 	0,165 	22,7 	0,0 	7,2250 	-1,580E-03 	2,794E-06 	-8,800E-10 	19,67 	8,38 	0	0	13,2954 	157,89 	0,00 	25	19	0,000 	0,00 	0,000 	0,000 	292
10	DEUTERIUM OXIDE	20,031 	277,0 	374,6 	644,0 	213,8 	55,6 	0,225 	0,000 	1,105 	293,0 	1,9 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	757,92 	304,58 	-59,57	-56,08	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	9880
11	FLUORINE	37,997 	53,5 	85,0 	144,3 	51,5 	66,2 	0,288 	0,048 	1,510 	85,0 	0,0 	5,5450 	8,734E-03 	-8,269E-06 	2,876E-09 	84,20 	52,52 	0	0	15,6700 	714,10 	-6,00 	91	59	30,772 	-1040,27 	-2,683 	0,210 	1560
12	NITROGEN TRIFLUORIDE	71,002 	66,4 	144,1 	234,0 	44,7 	0,0 	0,000 	0,132 	1,537 	144,0 	0,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-29,78	-30,38	15,6107 	1155,69 	-15,37 	155	103	39,219 	-1971,37 	-3,810 	0,679 	0
13	SILICON TETRAFLUORIDE	104,080 	183,0 	187,0 	259,0 	36,7 	0,0 	0,000 	0,000 	1,660 	178,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
14	SULFUR HEXAFLUORIDE	146,050 	222,5 	209,3 	318,7 	37,1 	198,0 	0,281 	0,286 	1,830 	223,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	251,29 	180,75 	-291,8	-267	19,3785 	2524,78 	-11,16 	220	159	0,000 	0,00 	0,000 	0,000 	0
15	HYDROGEN BROMIDE	80,912 	187,1 	206,1 	363,2 	84,4 	100,0 	0,283 	0,063 	2,160 	216,0 	0,8 	7,3200 	-2,260E-03 	4,114E-06 	-1,490E-09 	88,08 	166,32 	-8,66	-12,73	14,4687 	1242,53 	-47,86 	221	184	28,102 	-2394,35 	-1,843 	0,871 	4220
16	HYDROGEN CHLORIDE	36,461 	159,0 	188,1 	324,6 	82,0 	81,0 	0,249 	0,120 	1,193 	188,1 	1,1 	7,2350 	-1,720E-03 	2,976E-06 	-9,310E-10 	372,78 	277,74 	-22,06	-22,77	16,5040 	1714,25 	-14,45 	200	137	38,614 	-2626,67 	-3,443 	0,717 	3860
17	HYDROGEN FLUORIDE	20,006 	190,0 	292,7 	461,0 	64,0 	69,0 	0,120 	0,372 	0,967 	293,0 	0,0 	6,9410 	1,579E-04 	-4,854E-07 	5,980E-10 	438,74 	199,62 	-64,8	-65,3	17,6958 	3404,49 	15,06 	313	206	26,160 	-3496,52 	-1,338 	1,840 	1600
18	HYDROGEN IODIDE	127,912 	222,4 	237,6 	424,0 	82,0 	131,0 	0,309 	0,050 	2,803 	237,0 	0,5 	7,4420 	-3,410E-03 	7,099E-06 	-3,232E-09 	155,15 	285,43 	6,3	0,38	12,9149 	957,96 	-85,06 	256	215	33,884 	-3013,08 	-2,673 	1,230 	4724
19	HYDROGEN	2,016 	14,0 	20,4 	33,2 	12,8 	65,0 	0,305 	-0,220 	0,071 	20,0 	0,0 	6,4830 	2,215E-03 	-3,298E-06 	1,826E-09 	13,82 	5,39 	0	0	13,6333 	164,90 	3,19 	25	14	12,050 	-114,95 	0,048 	0,048 	216
20	WATER	18,015 	273,2 	373,2 	647,3 	217,6 	56,0 	0,229 	0,344 	0,998 	293,0 	1,8 	7,7010 	4,595E-04 	2,521E-06 	-8,590E-10 	658,25 	283,16 	-57,8	-54,64	18,3036 	3816,44 	-46,13 	441	284	55,336 	-6869,50 	-5,115 	1,050 	9717
21	HYDROGEN SULFIDE	34,080 	187,6 	212,8 	373,2 	88,2 	98,5 	0,284 	0,100 	0,993 	213,6 	0,9 	7,6290 	3,431E-04 	5,809E-06 	-2,810E-09 	342,79 	165,54 	-4,82	-7,9	16,1040 	1768,69 	-26,06 	230	190	42,687 	-3132,31 	-3,985 	0,871 	4460
22	AMMONIA	17,031 	195,4 	239,7 	405,6 	111,3 	72,5 	0,242 	0,250 	0,639 	273,2 	1,5 	6,5240 	5,692E-03 	4,078E-06 	-2,830E-09 	349,04 	169,63 	-10,92	-3,86	16,9481 	2132,50 	-32,98 	261	179	51,947 	-4104,67 	-5,146 	0,820 	5580
23	HYDRAZINE	32,045 	274,7 	386,7 	653,0 	145,0 	96,1 	0,260 	0,328 	1,008 	293,0 	3,0 	2,3330 	4,525E-02 	-3,958E-05 	1,439E-08 	524,98 	290,88 	22,75	37,89	17,9899 	3877,65 	-45,15 	343	288	56,096 	-6951,84 	-5,286 	1,630 	10700
24	HELIUM-4	4,003 	0,0 	4,2 	5,2 	2,2 	57,3 	0,301 	-0,387 	0,123 	4,3 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	12,2514 	33,73 	1,79 	4,3	3,7	8,622 	-12,23 	0,433 	0,007 	22
25	IODINE	253,808 	386,8 	457,5 	819,0 	115,0 	155,0 	0,265 	0,299 	3,740 	453,2 	1,3 	8,5010 	1,556E-03 	-1,669E-06 	6,770E-10 	559,62 	520,55 	0	0	16,1597 	3709,23 	-68,16 	487	383	0,000 	0,00 	0,000 	0,000 	10000
26	KRYPTON	83,800 	115,8 	119,8 	209,4 	54,3 	91,2 	0,288 	-0,002 	2,420 	120,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,2677 	958,75 	-8,71 	129	113	30,717 	-1408,77 	-2,579 	0,448 	2309
27	NITRIC OXIDE	30,006 	109,5 	121,4 	180,0 	64,0 	58,0 	0,250 	0,607 	1,280 	121,0 	0,2 	7,0090 	-2,240E-04 	2,328E-06 	-1,000E-09 	0,00 	0,00 	21,6	20,72	20,1314 	1572,52 	-4,88 	140	95	61,514 	-2465,78 	-7,211 	0,279 	3300
28	NITROGEN DIOXIDE	46,006 	261,9 	294,3 	431,4 	100,0 	170,0 	0,480 	0,860 	1,447 	292,9 	0,4 	5,7880 	1,155E-02 	-4,970E-06 	7,000E-11 	406,20 	230,21 	8,09	12,42	20,5324 	4141,29 	3,65 	320	230	61,862 	-6073,34 	-6,094 	1,040 	4555
29	NITROGEN	28,013 	63,3 	77,4 	126,2 	33,5 	89,5 	0,290 	0,040 	0,804 	78,1 	0,0 	7,4400 	-3,240E-03 	6,400E-06 	-2,790E-09 	90,30 	46,41 	0	0	14,9342 	588,72 	-6,60 	90	54	31,927 	-924,86 	-3,075 	0,264 	1333
30	NITROUS OXIDE	44,013 	182,3 	184,7 	309,6 	71,5 	97,4 	0,274 	0,160 	1,226 	183,6 	0,2 	5,1640 	1,739E-02 	-1,380E-05 	4,371E-09 	0,00 	0,00 	19,49	24,77	16,1271 	1506,49 	-25,99 	200	144	46,444 	-2867,98 	-4,655 	0,743 	3955
31	NEON	20,183 	24,5 	27,0 	44,4 	27,2 	41,7 	0,311 	0,000 	1,204 	27,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	14,0099 	180,47 	-2,61 	29	24	26,181 	-295,44 	-2,645 	0,041 	440
32	OXYGEN	31,999 	54,4 	90,2 	154,6 	49,8 	73,4 	0,288 	0,021 	1,149 	90,0 	0,0 	6,7130 	-8,790E-07 	4,170E-06 	-2,544E-09 	85,68 	51,50 	0	0	15,4075 	734,55 	-6,45 	100	63	31,041 	-1082,52 	-2,761 	0,265 	1630
33	SULFUR DIOXIDE	64,063 	197,7 	263,0 	430,8 	77,8 	122,0 	0,268 	0,251 	1,455 	263,0 	1,6 	5,6970 	1,600E-02 	-1,185E-05 	3,172E-09 	397,85 	208,42 	-70,95	-71,74	16,7680 	2302,35 	-35,97 	280	195	55,502 	-4552,50 	-5,666 	1,320 	5955
34	OZONE	47,998 	80,5 	161,3 	261,0 	55,0 	88,9 	0,288 	0,215 	1,356 	161,3 	0,6 	4,9070 	1,913E-02 	-1,491E-05 	4,054E-09 	313,79 	120,34 	34,1	38,91	15,7427 	1272,18 	-22,16 	174	109	0,000 	0,00 	0,000 	0,000 	2670
35	SULFUR TRIOXIDE	80,058 	290,0 	318,0 	491,0 	81,0 	130,0 	0,260 	0,410 	1,780 	318,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	1372,80 	315,99 	-94,47	-88,52	20,8403 	3995,70 	-36,66 	332	290	139,560 	-10420,10 	-17,380 	1,600 	9716
36	XENON	131,300 	161,3 	165,0 	289,7 	57,6 	118,0 	0,286 	0,002 	3,060 	165,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,2958 	1303,92 	-14,50 	178	158	31,429 	-1951,76 	-2,544 	0,804 	3108
37	TRIFLUOROBROMOMETHANE	148,910 	0,0 	214,0 	340,2 	39,2 	200,0 	0,280 	0,000 	0,000 	0,0 	0,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-155,1	-148,8	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
38	CHLOROTRIFLUOROMETHANE	104,459 	92,0 	191,7 	302,0 	38,7 	180,0 	0,282 	0,180 	0,000 	0,0 	0,5 	5,4490 	4,565E-02 	-3,765E-05 	1,065E-08 	0,00 	0,00 	-166	-156,3	0,0000 	0,00 	0,00 	0	0	44,255 	-2769,96 	-4,415 	1,300 	3706
39	DICHLORODIFLUOROMETHANE	120,914 	115,4 	243,4 	385,0 	40,7 	217,0 	0,280 	0,176 	1,750 	158,0 	0,5 	7,5470 	4,257E-02 	-3,603E-05 	1,037E-08 	215,09 	2165,55 	-15	-105,7	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	4772
40	PHOSGENE	98,916 	145,0 	280,8 	455,0 	56,0 	190,0 	0,280 	0,204 	1,381 	293,0 	1,1 	6,7090 	3,250E-02 	-3,281E-05 	1,211E-08 	0,00 	0,00 	-52,8	-49,42	15,7565 	2167,31 	-43,15 	341	213	0,000 	0,00 	0,000 	0,000 	5830
41	TRICHLOROFLUOROMETHANE	37,368 	162,0 	297,0 	471,2 	43,5 	248,0 	0,279 	0,188 	0,000 	0,0 	0,5 	9,7890 	3,893E-02 	-3,383E-05 	9,903E-09 	0,00 	0,00 	-68	-58,64	15,8516 	2401,61 	-36,30 	300	240	48,709 	-4464,14 	-4,753 	2,850 	5920
42	CARBON TETRACHLORIDE	153,823 	250,0 	349,7 	556,4 	45,0 	276,0 	0,272 	0,194 	1,584 	298,0 	0,0 	9,7250 	4,893E-02 	-5,421E-05 	2,112E-08 	2540,15 	290,84 	-4	-13,92	15,8742 	2808,19 	-45,99 	374	253	351,009 	-5386,51 	-0,953 	3,820 	7170
43	CARBON TETRAFLUORIDE	88,005 	86,4 	145,2 	227,6 	36,9 	140,0 	0,277 	0,191 	0,000 	0,0 	0,0 	3,3390 	4,838E-02 	-3,882E-05 	1,078E-08 	0,00 	0,00 	-223	-212,34	16,0543 	1244,55 	-13,06 	148	93	0,000 	0,00 	0,000 	0,000 	2860
44	CARBON MONOXIDE	28,018 	68,1 	81,7 	32,9 	34,5 	93,1 	0,295 	0,049 	0,803 	81,0 	0,1 	7,3730 	-3,070E-03 	6,662E-06 	-3,037E-09 	94,06 	48,90 	-26,42	-32,81	14,3686 	530,22 	-13,15 	108	63	32,981 	-997,18 	-3,216 	0,284 	1444
45	CARBONYL SULFIDE	60,070 	134,3 	222,9 	375,0 	58,0 	140,0 	0,260 	0,099 	1,274 	173,7 	0,7 	5,6290 	1,907E-02 	-1,676E-05 	5,860E-09 	0,00 	0,00 	-33,08	-39,59	0,0000 	0,00 	0,00 	0	0	41,853 	-3137,78 	-3,914 	1,300 	0
46	CARBON DIOXIDE	44,010 	216,6 	194,7 	304,2 	72,8 	94,0 	0,274 	0,225 	0,777 	293,0 	0,0 	4,7280 	1,754E-02 	-1,338E-05 	4,097E-09 	578,08 	185,24 	94,03	-94,26	22,5898 	3103,39 	-0,16 	204	154	52,730 	-3146,64 	-3,572 	0,703 	4100
47	CARBON DISULFIDE	76,131 	161,3 	319,4 	552,0 	78,0 	170,0 	0,293 	0,115 	1,293 	273,0 	0,0 	6,5550 	1,941E-02 	-1,831E-05 	6,384E-09 	274,08 	200,22 	27,98	15,99	15,9844 	2690,83 	-31,62 	342	223	37,410 	-4233,99 	-3,072 	2,210 	6390
48	CHLORODIFLUOROMETHANE	86,469 	113,0 	232,4 	369,2 	49,1 	165,0 	0,267 	0,215 	1,230 	289,0 	0,0 	4,1320 	3,865E-02 	-2,794E-05 	7,305E-09 	0,00 	0,00 	-119,9	112,47	15,5602 	1704,80 	-41,30 	240	223	52,663 	-3763,03 	-3,474 	1,530 	4826
49	DICHLOROMONOFLUOROMETHANE	102,923 	138,0 	282,0 	451,6 	51,0 	197,0 	0,272 	0,202 	1,380 	282,0 	1,3 	5,6520 	3,770E-02 	-2,866E-05 	7,795E-09 	0,00 	0,00 	-71,4	64,1	0,0000 	0,00 	0,00 	0	0	54,563 	-4629,02 	-5,590 	2,220 	5960
50	CHLOROFORM	119,378 	209,6 	334,3 	536,4 	54,0 	239,0 	0,293 	0,216 	1,489 	293,0 	1,1 	5,7330 	4,522E-02 	-4,397E-05 	1,590E-09 	394,81 	246,50 	24,2	-16,38	15,9732 	2696,79 	-46,16 	370	260	52,872 	-5359,56 	-5,200 	2,960 	7100
51	HYDROGEN CYANIDE	27,026 	259,9 	298,9 	456,8 	53,2 	139,0 	0,197 	0,407 	0,688 	293,0 	3,0 	5,2220 	1,448E-02 	-1,185E-05 	4,336E-09 	194,70 	145,31 	31,2	28,71	16,5138 	2585,80 	-37,15 	330	234	37,742 	-4183,37 	3,004 	2,180 	6027
52	DIBROMOMETHANE	173,835 	220,6 	370,0 	583,0 	71,0 	0,0 	0,000 	0,000 	2,500 	293,0 	1,9 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	428,91 	294,57 	-1	-1,34	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
53	DICHLOROMETHANE	84,933 	178,1 	313,0 	510,0 	60,0 	193,0 	0,277 	0,193 	1,317 	298,0 	1,8 	3,0940 	3,877E-02 	-3,110E-05 	1,005E-09 	359,55 	225,13 	22,8	-16,46	16,3029 	2622,44 	-41,70 	332	229	53,767 	-5110,20 	5,364 	2,410 	6690
54	FORMALDEHYDE	30,026 	156,0 	254,0 	408,0 	65,0 	0,0 	0,000 	0,253 	0,815 	253,0 	2,3 	5,6070 	7,540E-03 	7,130E-06 	-5,494E-09 	319,83 	171,35 	-27,7	-26,27	16,4775 	2204,13 	-30,15 	271	185	45,118 	-3873,26 	-4,200 	3,410 	5500
55	FORMIC ACID	46,025 	281,5 	373,8 	580,0 	0,0 	0,0 	0,000 	0,000 	1,226 	288,0 	1,5 	2,7980 	3,243E-02 	-2,009E-05 	4,817E-09 	729,35 	325,72 	90,49	-83,89	16,9882 	3599,58 	-26,09 	409	271	0,000 	0,00 	0,000 	0,000 	5240
56	METHYL BROMIDE	94,939 	179,5 	276,7 	464,0 	85,0 	0,0 	0,000 	0,273 	1,737 	268,0 	1,8 	3,4460 	2,606E-02 	-1,290E-05 	2,389E-09 	298,15 	211,15 	-9	-6,73	16,0252 	2271,71 	-34,83 	326	215	55,295 	-4467,46 	-5,788 	2,350 	5715
57	METHYL CHLORIDE	50,488 	175,4 	248,9 	416,3 	65,9 	139,0 	0,268 	0,156 	0,915 	293,0 	1,9 	3,3140 	2,422E-02 	-9,288E-06 	6,130E-10 	426,45 	193,56 	-20,63	-15,03	16,1052 	2077,97 	-29,55 	266	180	43,660 	-3642,21 	-4,064 	1,460 	5120
58	METHYL FLUORIDE	34,033 	131,4 	194,8 	317,8 	58,0 	124,0 	0,275 	0,190 	0,843 	213,0 	1,8 	3,3020 	2,058E-02 	-4,946E-06 	-4,740E-10 	0,00 	0,00 	-55,9	-50,19	16,3428 	1704,41 	-19,27 	209	141	43,063 	-2890,54 	-4,102 	0,906 	0
59	METHYL IODIDE	141,939 	206,7 	315,6 	528,0 	65,0 	190,0 	0,285 	0,172 	2,279 	293,0 	1,6 	2,5810 	3,318E-02 	-2,487E-05 	8,325E-09 	336,19 	229,95 	3,34	3,74	16,0905 	2639,55 	-36,50 	325	260	47,781 	-4686,90 	-4,577 	2,840 	6500
60	NITROMETHANE	61,041 	244,6 	374,4 	588,0 	62,3 	173,0 	0,224 	0,346 	1,138 	293,0 	3,1 	1,7730 	4,724E-02 	-2,583E-05 	4,980E-09 	452,50 	261,21 	-17,86	-1,66	16,2193 	2972,64 	-64,15 	409	278	50,133 	-5996,30 	-4,641 	3,080 	8225
61	METHANE	16,043 	90,7 	111,7 	190,6 	45,4 	99,0 	0,288 	0,008 	0,425 	111,7 	0,0 	4,5980 	1,245E-02 	2,860E-06 	-2,703E-09 	114,14 	57,60 	-17,89	-12,15	15,2243 	897,84 	-7,16 	120	93	30,175 	-1300,61 	-2,641 	0,442 	1955
62	METHANOL	32,042 	175,5 	337,8 	512,6 	79,9 	118,0 	0,224 	0,559 	0,791 	293,0 	1,7 	5,0520 	1,694E-02 	6,179E-06 	-6,811E-09 	555,30 	260,64 	-48,08	-38,84	18,5875 	3626,55 	-34,29 	364	257	72,268 	-7064,20 	-7,680 	1,860 	8426
63	METHYL MERCAPTAN	48,107 	150,0 	279,1 	470,0 	71,4 	145,0 	0,268 	0,155 	0,866 	293,0 	1,3 	3,1690 	3,479E-02 	-2,041E-05 	4,956E-09 	0,00 	0,00 	-5,49	-2,37	16,1909 	2338,38 	-34,44 	300	200	46,610 	-4233,88 	-4,408 	1,710 	5870
64	METHYL AMINE	31,058 	179,7 	266,8 	430,0 	73,6 	140,0 	0,292 	0,275 	0,703 	259,6 	1,3 	2,7410 	3,409E-02 	-1,274E-05 	1,135E-09 	311,80 	176,30 	-5,5	7,71	17,2622 	2484,83 	-32,92 	311	212	62,306 	-4954,32 	-6,642 	1,400 	6210
65	METHYL HYDRAZINE	46,072 	0,0 	364,0 	567,0 	79,3 	271,0 	0,462 	0,000 	0,000 	0,0 	1,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	20,4	42,51	15,1424 	2319,84 	-91,70 	400	270	0,000 	0,00 	0,000 	0,000 	0
66	CHLOROPENTAFLUOROETHANE	154,467 	167,0 	234,0 	353,2 	31,2 	252,0 	0,271 	0,253 	0,000 	0,0 	0,3 	6,6480 	8,340E-02 	-6,904E-05 	1,944E-08 	0,00 	0,00 	0	0	15,7343 	1848,90 	-30,88 	230	175	15,878 	-3659,53 	-5,433 	2,250 	4650
67	1,1-DICHLORO-1,2,2,2-TETRAFLUOROETHANE	170,922 	179,0 	277,0 	418,6 	32,6 	294,0 	0,279 	0,000 	1,455 	298,0 	0,0 	9,6620 	7,830E-02 	6,572E-05 	1,868E-08 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
68	1,2-DICHLORO-1,1,2,2-TETRAFLUOROETHANE	170,922 	179,3 	276,9 	418,9 	32,2 	293,0 	0,275 	0,255 	1,480 	277,0 	0,5 	9,2620 	8,216E-02 	7,047E-05 	2,032E-08 	0,00 	0,00 	-214,6	0	0,0000 	0,00 	0,00 	0	0	52,316 	-4327,01 	-5,350 	3,020 	5560
69	1,2,2-TRICHLORO-1,1,2TRIFLUOROETHANE	187,380 	238,2 	320,7 	487,2 	33,7 	304,0 	0,256 	0,252 	1,580 	289,0 	0,0 	14,6030 	6,865E-02 	-5,780E-05 	1,649E-08 	0,00 	0,00 	-178,1	0	15,8424 	2523,61 	-45,67 	360	250	57,097 	-5249,75 	-5,913 	3,910 	6570
70	TETRACHLOROETHYLENE	165,834 	251,0 	394,3 	620,0 	44,0 	290,0 	0,250 	0,000 	1,620 	293,0 	0,0 	10,9800 	5,387E-02 	-5,478E-05 	2,002E-08 	392,58 	281,82 	-2,9	5,4	16,1642 	3259,29 	-52,15 	460	307	0,000 	0,00 	0,000 	0,000 	8300
71	1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE	203,831 	298,0 	364,7 	551,0 	0,0 	0,0 	0,000 	0,000 	1,645 	298,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	75,315 	-7113,72 	-8,344 	4,950 	0
72	PERFLUOROETHANE	100,016 	130,7 	197,5 	306,4 	38,9 	175,0 	0,271 	0,226 	1,519 	197,0 	0,0 	6,9290 	5,439E-02 	-4,863E-05 	1,619E-08 	0,00 	0,00 	-157,4	-149,07	15,8800 	1574,60 	-27,22 	210	140	51,903 	-3165,74 	-5,537 	1,340 	0
73	PERFLUOROETHANE	138,012 	172,4 	194,9 	292,8 	0,0 	224,0 	0,000 	0,000 	1,590 	195,0 	0,0 	6,4050 	8,259E-02 	-6,853E-05 	1,943E-08 	0,00 	0,00 	-321	-300,52	15,6422 	1512,94 	-26,94 	200	170	48,373 	-2969,90 	-5,032 	1,530 	3860
74	CYANOGEN	52,035 	245,3 	252,5 	400,0 	59,0 	0,0 	0,000 	0,240 	0,000 	0,0 	0,2 	8,5830 	2,210E-02 	-1,946E-05 	7,045E-09 	0,00 	0,00 	73,84	71,03	0,0000 	0,00 	0,00 	0	0	58,323 	-4390,80 	-6,185 	1,510 	0
75	TRICHLOROETHYLENE	131,389 	186,8 	360,4 	571,0 	48,5 	256,0 	0,265 	0,213 	1,462 	293,0 	0,9 	7,2070 	5,462E-05 	-5,324E-05 	1,696E-08 	145,60 	196,60 	-1,4	4,75	16,1827 	3028,13 	-43,15 	400	260	53,482 	-5776,65 	-5,295 	3,700 	7500
76	TRIFLUOROACETIC ACID	114,024 	257,9 	345,6 	491,3 	32,2 	0,0 	0,000 	0,000 	1,535 	273,0 	2,3 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
77	ACETYLENE	26,038 	192,4 	189,2 	308,3 	60,6 	113,0 	0,271 	0,184 	0,615 	189,0 	0,0 	6,4060 	1,810E-02 	-1,196E-05 	3,373E-09 	0,00 	0,00 	54,19	50	16,3481 	1637,18 	-19,77 	202	194	46,122 	-2891,04 	-4,162 	0,863 	4050
78	1,1-DIFLUOROETHYLENE	64,035 	0,0 	0,0 	302,8 	44,0 	154,0 	0,273 	0,000 	0,000 	0,0 	1,4 	0,7340 	5,839E-02 	-5,014E-05 	1,677E-08 	0,00 	0,00 	-82,5	-76,84	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
79	KETENE	42,038 	138,0 	232,0 	380,0 	64,0 	145,0 	0,300 	0,207 	0,000 	0,0 	1,4 	1,5250 	3,913E-02 	-2,590E-05 	6,455E-09 	0,00 	0,00 	-14,6	-14,41	16,0197 	1849,21 	-35,15 	255	170	0,000 	0,00 	0,000 	0,000 	4930
