short name of method 	full name of method 	equation 	parameters 
Schwartzentru ber-Renon 	Schwartzentruber-Renon equation of state (Aspen[7], page 3-31) 	p = R*T/(Vm+c-b) a/[(vm+c)*(Vm+c+b)] with mixing rules 	criticalTemperature_i, criticalPressure_i, omega_i, q_0_i, q_1_i, q_2_i, c_0_i, c_1_i, c_2_i, k_0_a_i-j, k_1_a_i_j, k_2_a_i_j, l_0_i_j, l_1_i_j, l_2_i_j, k_0_D_i_j, k_1_D_i_j, k_2_D_i_j 
Peng-Robinson 	standard Peng-Robinson equation of state (Aspen[7], page 3-34) 	p = R*T/(vm-b) a/[vm*(vm+b)+b*(vm-b)] 	criticalTemperature_i, criticalPressure_i, omega_i (i=1..2), k_1_2 
Redlich-Kwong-Soave 	standard Redlich-Kwong-Soave equation of state (Aspen[7], page 335) 		
p = R*T/(vm-b) - a/[vm*(vm+b)] with mixing rules 	criticalTemperature_i, criticalPressure_i, omega_i, k_i_j 		
Bromley-Pitzer 	Bromley-Pitzer activity coefficient model (Aspen[7], page 3-54) 		beta_ion, delta_ion, beta_0, beta_1, beta_2, beta_3 
Chien-Null 	Chien-Null model for calculation activity coefficient of highly non-ideal systems (Aspen[7], page 3-55) 		a_i_j, b_i_j, v_i_j 
Electrolyte-NRTL 	NRTL activity coefficient model for electrolytes(Aspen[7], page 358) 		A_B, B_B, C_B, r_i, A_BB, A_BsB, B_BBs, B_BsB, alpha_BB, F_BBs, F_BsB, G_BBs, G_BsB, C_ca_B, C_B_ca, D_ca_B, D_B_ca, E_ca_B, E_B-ca, alpha_ca_B, C_cas_cass, C_cass-cas, c_csa,cssa, C_cssa_csa, D_cas_cass,D_cass_cas, D_csa_cssa, D_cssa_csa, E_cas_cass, E_cass_cas,E_csa_cssa, E_cssa_csa, alpha_cas_cass, alpha_csa_cssa 
NRTL 	NRTL activity coefficient model (DDB[8], page XVI) 		A_i_j, A_j_i, alpha (i,j=1...2) 
extended NRTL (Aspen) 	NRTL activity coefficient model (Aspen[7], page 3-62) 		a_i_j, b_i_j, c_i_j, d_i_j, e_i_j, f_i_j (i,j=1...2) 
general NRTL 	general NRTL activity coefficient model (Hysys[9], page A-22) 		form-of_equation, A_j_j, B_i_j, C_i_j, F_i_j, G_i_j, alpha1_i_j, alpha2_i_j (i,j=1...2) 
Pitzer activity 	Pitzer model for activity 		beta_0, beta_1, beta_2, 
coefficient model 	coefficients of aqueous systems (Aspen [7], page 3-63) 		beta_3, C_p, theta_c_cs, theta_a_as, psi_c_cs_a, psi_c_a_as 
Redlich-Kister 	Redlich-Kister model for calculating activity coefficients (Aspen[7], page 3-66) 		a_i_j, b_i_j, c_i_j, d_i_j, e_i_j, f_i_j, g_i_j, h_i_j, m_i_j, n_i_j, v_i 
Scatchard-Hildebrand 	Scatchard-Hildebrand model (Aspen[7], page 3-67) 		criticalTemperature-i, delta_i, V_i_CVT, V_i_l 
Margules 	Margules equation for calculating liquid activity coefficients (DDB[8], page XVI) 	ln(?i) = [Aij + 2*(Aji-Aij)*xi](1-xi)2 	A_i_j 
extended Margules 	Margules equation for calculating liquid activity coefficients with temperature-independent parameters (Hysys[9], page A-24) 	"ln(?i) = (1-xi)*+2*[Ai + 2+xi*(Bi-Ai)]; Ai = S(j)[xj*(aij+bij*T)/(1-xi)]; Bi = S(j)[xj*(aji+bji*T)/(1-xi)] "	a_i_j, b_i_j (i,j=1...2) 
three-suffix Margules 	extended Margules equation for calculating liquid activity coefficients (Aspen[7], page 3-68) 		a_i_j, b_i_j, c_i_j, d_i_j (i,j=1...2) 
van Laar 	van Laar equation for calculating liquid activity coefficients (DDB[8], page XVI) 		A_i_j (i,j=1...2) 
extended van Laar (Aspen) 	extended van Laar equation for calculating liquid activity coefficients with temperature-independent parameters (Aspen[7], page 3-75) 		a_i_j, b_i_j, c_i_j, d_i_j (i,j=1...2) 
extended van Laar (Hysys) 	extended van Laar equation for calculating liquid activity coefficients with temperature-independent parameters (Hysys[9], page A-28) 		a_i_j, b_i_j (i,j=1...2) 
Wilson 	Wilson equation for calculating liquid activity coefficients (DDB[8], page XVI) 		A_i_j (i,j=1...2) 
extended Wilson (Aspen) 	extended Wilson equation for calculating liquid activity (Aspen[7], page 3-78) 		a_i_j, b_i_j, c_i_j, d_i_j (i,j=1...2) 
extended Wilson (Hysys) 	extended Wilson equation for calculating liquid activity coefficients with temperature-independent parameters (Hysys[9], page A-29) 		a_i_j, b_i_j (i,j=1...2) 
UNIQUAC 	UNIQUAC equation for calculating liquid activity coefficients (DDB[8], page XVII) 		u_i_j (i,j=1...2) 
extended UNIQUAC (Aspen) 	extended UNIQUAC equation for calculating liquid activity coefficients with temperature-independent parameters (Aspen[7], page 3-74) 		a_i_j, b_i_j, c_i_j, d_i_j (i,j=1...2) 
extended UNIQUAC (Hysys) 	extended UNIQUAC equation for calculating liquid activity coefficients with temperature-independent parameters (Hysys[9], page A-26) 		a_i_j, b_i_j (i,j=1...2) 
DIPPR107 	DIPPR equation for the ideal heat capacity 	property = A + B[C/T/sinh(C/T)]2 + D[E/T/cosh(E/T)]2 	A, B, C, D, E 
heat capacity (ASPEN) 	Aspen[7]-equation for the solid heat capacity (page 3-102) 	Cp = c1 + c2*T + c3*T2 + c4/T + c5/T2 + c6/v(T) 	c1, c2, c3, c4, c5, c6 
Barin 	Barin equations for thermophysical property data 	G = a + b*T + c*(T*ln(T)) + d*T2 + e*T3 + f*T4 + g/T + h/T2 	a, b, c, d, e,f, g, h 
Andrade 	Andrade equation for calculating the liquid viscosity 	ln(?) = A + B/T + C*ln(T) 	A, B, C 
liquid viscosity (DIPPR) 	DIPPR equation for the liquid viscosity 	ln(?) = c1 + c2/T + c3*ln(T) + c4*Tc5 	c1, c2, c3, c4, c5 
viscosity mixing rule 	ASPEN[7] mixing rule for the liquid viscosity (listed under the heading Andrade/DIPPR, page 3122) 	ln(?) = S(i)[x_i*ln(?i)] + S(i,j)[(aij + bij/T)*xi*xj + (cij+dij/T)*xi 2*xj 2] 	a_i_j, b_i_j, c_i_j, d_i_j 
DIPPR102 	DIPPR equation for the gas viscosity at 0 atm pressure and the gas thermal conductivity 	property = A*TB/(1 + C/T + D/T2) 	A, B, C, D 
Chung-Lee-Starling 	Chung-Lee-Starling correlation of the viscosity and thermal conductivity of liquid or gaseous mixtures  (Aspen[7], page 3-127, 3138)) 		
suface tension (DIPPR) 	DIPPR correlation for surface tension 	"s = c1*(1-Tr)^(c2 + c3*Tr + c4*Tr 2 + c5*Tr 3); Tr = T/Tcrit "	c1, c2, c3, c4, c5, criticalTemperature 
Hakim-Steinberg-Stiel 	Hakim-Steinberg-Stiel equation for the surface tension (Aspen[7], page 3-155) 		chi 
DIPPR105 		property = A/B^[1+(1-T/C)D] 	A, B, C, D 
DIPPR101 		property = exp(A + B/T + C*ln(T) + D*TE) 	A, B, C, D, E 
DIPPR106 		"property = A*(1-Tr)^(B + C*Tr + D*Tr 2); Tr = T/Tcrrit "	A,B,C,D, criticalTemperature 
DIPPR104 		property = A + B/T + C/T3 + D/T8 + E/T9 	A, B, C, D, E 
